u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id
601675044,2971125849,大木桥路,tertiary,1,101.068, , , , , , , ,6073,8,270
601675044,601675056,正阳路,residential,0,16.473, , , , , , , ,6074,45,271
601675044,856908965,正阳路,residential,0,271.053, , , , , , , ,6075,25,272
601675049,601669716,大木桥路,tertiary,1,35.403, , , , , , , ,6076,32,273
601675049,600504912,肇嘉浜路,primary,1,127.295,4, , , ,60, , ,6077,746,274
601675053,601675049,肇嘉浜路,primary,1,16.329,4, , , ,60, , ,6078,728,275
601675053,601675056,大木桥路,tertiary,1,257.949, , , , , , , ,6079,5,276
601675056,601675044,正阳路,residential,0,16.473, , , , , , , ,6080,13,277
601675056,622622029,大木桥路,tertiary,1,255.732, , , , , , , ,6081,34,278
601675056,856909006,医学院路,residential,0,456.357, , , , , , , ,6082,14,279
601675056,856909026,清真路,residential,0,434.244, , , , , , , ,6083,31,280
601675059,4225546015,大木桥路,tertiary,1,9.13, , , , , , , ,6084,18,281
601675059,4225546021,大木桥路,tertiary,0,260.202, , , , , , , ,6085,137,282
601675069,601669704,岳阳路,residential,1,294.945, , , , , , , ,6087,364,283
601675069,601675075,建国西路,secondary,1,283.006, , , , , , , ,6088,259,284
601675075,601675077,建国西路,secondary,1,254.082, , , , , , , ,6089,297,285
601675075,601675378,太原路,residential,1,283.156, , , , , , , ,6090,323,286
601675077,601669708,襄阳南路,tertiary,1,448.411, , , , , , , ,6091,326,287
601675077,601669719,建国西路,secondary,1,220.586, , , , , , , ,6092,276,288
601675124,857586380,复兴中路,secondary,1,440.287,2, , , , , , ,6093,425,289
601675124,152846422,汾阳路,residential,0,433.004,1, , , , , , ,6094,170,290
601675124,267671967,汾阳路,residential,0,172.305,1, , , , , , ,6095,432,291
601675165,601675168,小木桥路,unclassified,1,56.914, , , , , , , ,6096,384,292
601675165,601675019,肇嘉浜路,primary,1,288.694,4, , , , , , ,6097,947,293
601675168,601675296,肇嘉浜路,primary,1,60.021,4, , , ,60, , ,6098,765,294
601675168,856909015,小木桥路,unclassified,1,94.124, , , , , , , ,6099,461,295
601675296,107724512,肇嘉浜路,primary,1,234.618,4, , , ,60, , ,6100,903,296
601675378,601675165,肇嘉浜路,primary,1,20.575,4, , , , , , ,6101,1291,297
601675378,601675296,太原路,residential,1,43.57, , , , , , , ,6102,123,298
601681398,76482203,思南路,residential,1,110.225,1, , , , , , ,6103,160,299
601681398,109425717,香山路,residential,0,233.717, , , , , , , ,6104,28,300
601681402,601681404,皋兰路,residential,1,224.738, , , , , , , ,6106,22,301
601681402,483119728,瑞金二路,secondary,1,128.24,2, , , , , , ,6107,812,302
601681404,601681398,思南路,residential,1,115.66399999999999,1, , , , , , ,6109,149,303
601681407,109425172,瑞金二路,secondary,1,150.81,2, , , , , , ,6110,905,304
601681509,601669728,嘉善路,residential,1,224.165, , , , , , , ,6111,41,305
601681509,601681519,永康路,residential,1,156.16199999999995, , , , , , , ,6112,20,306
601681519,131166911,襄阳南路,tertiary,1,206.259, , , , , , , ,6113,354,307
601681519,601681523,永康路,residential,1,364.184, , , , , , , ,6114,33,308
601681523,601669706,太原路,residential,1,257.90200000000004, , , , , , , ,6115,418,309
601712324,601712368,建国西路,tertiary,1,158.947, , , , , , , ,6124,194,310
601712324,82518464,安亭路,residential,0,301.433,1, , , , , , ,6125,14,311
601712348,2412392614,建国西路,tertiary,1,15.247, , , , , , , ,6126,219,312
601712348,243843481,宛平路,secondary,0,14.717, , , , , , , ,6127,90,313
601712348,243843485,宛平路,residential,0,208.216, , , , , , , ,6128,176,314
601712348,640476172,衡山路,secondary,1,292.445,2, , , , , , ,6129,526,315
601712368,601675069,建国西路,secondary,1,341.728, , , , , , , ,6130,231,316
601712368,107758818,乌鲁木齐南路,tertiary,1,287.122,1, , , , , , ,6131,327,317
601712416,601712418,斜徐路,residential,0,4.178, , , , , , , ,6132,53,318
601712416,856909184,斜徐路,residential,0,212.031, , , , , , , ,6133,20,319
601712416,601712550,丽园路,unclassified,1,176.93299999999996, , , , , , , ,6134,83,320
601712418,601712416,斜徐路,residential,0,4.178, , , , , , , ,6135,23,321
601712418,601712535,丽园路,unclassified,1,93.818, , , , , , , ,6136,178,322
601712422,243843501,东安路,tertiary,0,586.143,4, , , , , , ,6137,537,323
601712422,107758818,东安路,tertiary,0,32.681,4, , , , , , ,6138,148,324
601712422,640448687,肇嘉浜路,primary,1,310.553,4, , , ,60, , ,6139,908,325
601712535,1882278349,鲁班路,primary,1,269.244,4, , , , , , ,6153,525,326
601712540,601712535,鲁班路,primary,1,5.152,4, , , , , , ,6154,676,327
601712540,601712416,丽园路,unclassified,1,93.957, , , , , , , ,6155,115,328
601712550,486193667,徐家汇路,primary,1,318.619,4, , , , , , ,6156,495,329
601712550,856909184,徐家汇路,secondary,1,208.075, , , , , , , ,6158,209,330
601716792,601716797,斜土路,residential,1,25.423, , , , , , , ,6159,14,331
601716792,622624188,零陵路,tertiary,0,184.882, , , , , , , ,6160,294,332
601716792,601716803,零陵路,tertiary,0,50.148, , , , , , , ,6161,82,333
601716797,2376274688,斜土路,residential,0,107.056,4, , , , , , ,6162,7,334
601716797,601716803,斜土路,residential,1,54.85300000000001, , , , , , , ,6163,155,335
601716803,601716792,零陵路,tertiary,0,50.148, , , , , , , ,6164,279,336
601716803,321982054,零陵路,tertiary,0,218.388, , , , , , , ,6165,245,337
603891408,603891413,武康路,residential,1,188.245, , , , , , , ,6643,149,338
603891413,1168461360,五原路,residential,1,279.945,1, , , , , , ,6644,28,339
603891413,603891416,武康路,residential,1,92.97000000000001, , , , , , , ,6645,126,340
603891416,1666718699,复兴西路,tertiary,0,161.273,2, , , , , , ,6646,146,341
603891416,603891525,复兴西路,tertiary,0,292.797,2, , , , , , ,6647,53,342
603891416,804464933,武康路,residential,1,282.736, , , , , , , ,6648,135,343
603891420,107742927,肇嘉浜路,primary,1,106.554,4, , , , , , ,6649,908,344
